geneNames	PBMC_CD4_T_cells	PBMC_B_cells	PBMC_Monocytes	PBMC_NK_cells	PBMC_CD8_T_cells	PBMC_Dendritic_cells	PBMC_Megakaryocytes
ENSG00000243485	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0
ENSG00000238009	0	0	0	0	0	0	0
ENSG00000239945	0	0	0	0	0	0	0
ENSG00000237683	7.36194331745362e-07	0	3.47170789512665e-06	0	1.53576096187781e-06	0	0
ENSG00000239906	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0
ENSG00000228463	3.68097165872681e-07	0	5.78617982521108e-07	0	1.53576096187781e-06	0	0
ENSG00000237094	0	0	0	0	0	0	0
ENSG00000235249	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0
ENSG00000236743	0	0	0	0	0	0	0
ENSG00000231709	0	0	0	0	0	0	0
ENSG00000235146	0	0	0	0	0	0	0
ENSG00000239664	0	0	0	0	0	0	0
ENSG00000230021	0	0	0	0	0	0	0
ENSG00000223659	0	0	0	0	0	0	0
ENSG00000185097	0	0	0	0	0	0	0
ENSG00000235373	0	0	0	0	0	0	0
ENSG00000240618	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0	0
ENSG00000228327	3.68097165872681e-07	2.97754189029247e-06	0	0	0	1.19633681666736e-05	0
ENSG00000237491	0	0	1.73585394756332e-06	0	0	0	0
ENSG00000269831	0	0	0	0	0	0	0
ENSG00000177757	0	0	1.15723596504222e-06	0	0	0	0
ENSG00000225880	1.84048582936341e-06	4.4663128354387e-06	3.47170789512665e-06	6.64840571231019e-06	3.07152192375561e-06	0	0
ENSG00000230368	0	1.48877094514623e-06	5.78617982521108e-07	0	0	0	0
ENSG00000269308	0	0	0	0	0	0	0
ENSG00000272438	0	0	0	0	0	0	0
ENSG00000230699	0	0	0	0	0	0	0
ENSG00000241180	0	0	0	0	0	0	0
ENSG00000223764	0	0	0	0	0	0	0
ENSG00000187634	0	0	0	0	1.53576096187781e-06	0	0
ENSG00000268179	0	0	0	0	0	0	0
ENSG00000188976	4.34354655729764e-05	5.95508378058494e-05	3.7610168863872e-05	7.64566656915672e-05	5.06801117419676e-05	2.39267363333473e-05	0
ENSG00000187961	1.10429149761804e-06	1.48877094514623e-06	1.15723596504222e-06	3.32420285615509e-06	0	0	4.32862955588261e-05
ENSG00000187583	1.10429149761804e-06	0	1.15723596504222e-06	3.32420285615509e-06	1.53576096187781e-06	0	0
ENSG00000187642	0	0	0	0	0	0	0
ENSG00000272512	3.68097165872681e-07	0	1.15723596504222e-06	0	0	0	0
ENSG00000188290	2.94477732698145e-06	5.95508378058494e-06	0.000112830506591616	3.32420285615509e-06	1.53576096187781e-06	5.98168408333682e-06	8.65725911176522e-05
ENSG00000224969	0	2.97754189029247e-06	5.78617982521108e-07	0	0	5.98168408333682e-06	0
ENSG00000187608	0.000327974574792559	0.000263512457290884	0.000961663086950081	0.000505278834135574	0.000277972734099883	0.000652003565083714	0.000303004068911783
ENSG00000188157	0	0	3.47170789512665e-06	0	1.53576096187781e-06	5.98168408333682e-06	0
ENSG00000273443	0	0	0	0	0	0	0
ENSG00000237330	0	0	0	0	0	0	0
ENSG00000131591	4.04906882459949e-06	2.97754189029247e-06	2.89308991260554e-06	0	7.67880480938903e-06	5.98168408333682e-06	0
ENSG00000223823	0	0	0	0	0	0	0
ENSG00000272141	0	0	0	0	0	0	0
ENSG00000205231	0	0	0	0	0	0	0
ENSG00000162571	0	0	0	0	0	0	0
ENSG00000186891	2.5398704445215e-05	1.33989385063161e-05	1.15723596504222e-06	8.31050714038774e-05	1.07503267331446e-05	0	0
ENSG00000186827	6.6993684188828e-05	2.97754189029247e-06	1.15723596504222e-06	2.99178257053958e-05	1.84291315425337e-05	5.98168408333682e-06	0
ENSG00000078808	5.85274493737563e-05	3.57305026835096e-05	4.45535846541253e-05	0.000199452171369306	5.98946775132344e-05	4.78534726666946e-05	4.32862955588261e-05
ENSG00000176022	8.46623481507167e-06	8.93262567087741e-06	1.15723596504222e-05	2.65936228492408e-05	7.67880480938903e-06	0	0
ENSG00000184163	0	0	5.78617982521108e-07	0	1.53576096187781e-06	0	0
ENSG00000260179	0	0	5.78617982521108e-07	0	0	0	0
ENSG00000160087	5.079740889043e-05	4.61518992995333e-05	3.70315508813509e-05	7.64566656915672e-05	7.67880480938903e-05	4.18717885833578e-05	8.65725911176522e-05
ENSG00000230415	3.68097165872681e-07	0	0	0	0	0	0
ENSG00000162572	0	0	0	0	0	0	0
ENSG00000131584	9.57052631268971e-06	1.33989385063161e-05	8.10065175529551e-06	1.32968114246204e-05	1.07503267331446e-05	1.19633681666736e-05	0
ENSG00000169972	9.93862347856239e-06	2.97754189029247e-06	1.04151236853799e-05	1.32968114246204e-05	1.38218486569003e-05	0	0
ENSG00000127054	3.23925505967959e-05	9.5281340489359e-05	2.60378092134499e-05	4.98630428423264e-05	5.06801117419676e-05	3.58901045000209e-05	4.32862955588261e-05
ENSG00000224051	1.7300566796016e-05	1.04213966160236e-05	5.78617982521108e-06	9.97260856846528e-06	9.21456577126683e-06	1.79450522500105e-05	0
ENSG00000169962	3.68097165872681e-07	0	0	0	0	0	0
ENSG00000107404	7.36194331745362e-07	0	1.15723596504222e-06	0	1.53576096187781e-06	0	0
ENSG00000162576	1.84048582936341e-06	0	0	0	0	0	0
ENSG00000175756	0.000123312550567348	0.000144410781679185	0.000170692304843727	0.000229369997074701	0.000173540988692192	0.000293102520083504	0.000259717773352956
ENSG00000221978	2.06134412888701e-05	2.08427932320473e-05	2.43019552658865e-05	3.6566231417706e-05	2.76436973138005e-05	2.99084204166841e-05	4.32862955588261e-05
ENSG00000224870	1.87729554595067e-05	2.23315641771935e-05	6.36479780773219e-06	2.32694199930857e-05	1.68933705806559e-05	1.79450522500105e-05	0
ENSG00000242485	0.000136195951372892	0.000147388323569477	0.000155648237298178	0.00018947956280084	0.000115182072140835	0.000119633681666736	0.000173145182235304
ENSG00000272455	0	0	0	0	0	0	0
ENSG00000235098	0	0	0	0	0	1.19633681666736e-05	0
ENSG00000225905	0	0	0	0	0	0	0
ENSG00000205116	0	0	0	0	0	0	0
ENSG00000225285	0	0	0	0	0	0	0
ENSG00000179403	0	0	0	0	0	0	0
ENSG00000215915	1.84048582936341e-06	0	0	5.65114485546366e-05	3.07152192375561e-06	0	0
ENSG00000160072	2.94477732698145e-06	1.04213966160236e-05	2.89308991260554e-06	3.32420285615509e-06	1.07503267331446e-05	0	0
ENSG00000197785	8.09813764919898e-06	5.95508378058494e-06	7.5220337727744e-06	1.32968114246204e-05	3.07152192375561e-06	5.98168408333682e-06	0
ENSG00000205090	0	0	0	0	0	0	0
ENSG00000160075	0.000178895222614123	0.000192051451923864	0.000199623203969782	0.0001628859399516	0.000191970120234726	0.000173468838416768	0.000259717773352956
ENSG00000215014	4.41716599047217e-06	4.4663128354387e-06	3.47170789512665e-06	0	9.21456577126683e-06	5.98168408333682e-06	0
ENSG00000228594	1.47238866349072e-06	0	2.31447193008443e-06	0	0	5.98168408333682e-06	0
ENSG00000272106	6.99384615158094e-06	5.95508378058494e-06	8.10065175529551e-06	0	0	5.98168408333682e-06	0
ENSG00000197530	2.79753846063238e-05	1.63764803966086e-05	8.67926973781662e-06	0.000129643911390049	7.21807652082569e-05	0	0
ENSG00000189409	3.68097165872681e-07	0	0	3.6566231417706e-05	1.22860876950224e-05	5.98168408333682e-06	0
ENSG00000248333	9.20242914681703e-06	5.95508378058494e-06	1.15723596504222e-05	9.97260856846528e-06	1.38218486569003e-05	0	4.32862955588261e-05
ENSG00000272004	3.68097165872681e-07	0	0	0	1.53576096187781e-06	0	0
ENSG00000189339	8.83433198094435e-06	4.4663128354387e-06	2.89308991260554e-06	1.66210142807755e-05	1.22860876950224e-05	0	0
ENSG00000269737	0	0	0	0	0	0	0
ENSG00000008128	2.57668016110877e-05	1.48877094514623e-05	3.12453710561398e-05	4.32146371300162e-05	2.91794582756783e-05	5.98168408333682e-06	0
ENSG00000215790	4.04906882459949e-06	4.4663128354387e-06	5.78617982521108e-07	0	0	5.98168408333682e-06	0
ENSG00000008130	6.62574898570826e-06	1.33989385063161e-05	4.91825285142942e-05	2.65936228492408e-05	1.53576096187781e-05	1.79450522500105e-05	0
ENSG00000078369	3.20244534309233e-05	3.27529607932172e-05	8.79499333432084e-05	4.65388399861713e-05	6.60377213607456e-05	0.0001136519975834	0.000129858886676478
ENSG00000231050	3.68097165872681e-07	1.48877094514623e-06	5.78617982521108e-07	0	0	0	0
ENSG00000169885	0	0	0	0	0	0	0
ENSG00000178821	3.68097165872681e-07	0	0	0	3.07152192375561e-06	0	0
ENSG00000142609	0	0	0	0	0	0	0
ENSG00000233542	0	0	0	0	0	0	0
ENSG00000187730	0	0	0	0	0	0	0
ENSG00000226969	0	0	0	0	0	0	0
ENSG00000067606	7.7300404833263e-06	0	1.73585394756332e-06	3.32420285615509e-06	1.22860876950224e-05	0	0
ENSG00000271806	3.68097165872681e-07	2.97754189029247e-06	3.47170789512665e-06	0	1.53576096187781e-06	0	0
ENSG00000182873	3.68097165872681e-07	1.48877094514623e-06	0	0	0	0	0
ENSG00000162585	8.17175708237352e-05	9.08150276539203e-05	0.000134817989927418	9.30776799723426e-05	7.06450042463791e-05	7.77618930833787e-05	4.32862955588261e-05
ENSG00000269554	1.10429149761804e-06	0	0	0	0	0	0
ENSG00000203301	3.68097165872681e-07	1.48877094514623e-06	0	0	0	0	0
ENSG00000243558	0	0	0	0	0	0	0
ENSG00000234396	0	0	0	0	0	0	0
ENSG00000157933	1.21472064737985e-05	5.95508378058494e-06	9.25788772033773e-06	6.64840571231019e-06	7.67880480938903e-06	0	0
ENSG00000116151	0	1.48877094514623e-06	0	0	0	0	0
ENSG00000269753	0	0	0	0	0	0	0
ENSG00000157916	0.000102699109278478	0.00012654553033743	0.000149862057472967	0.000196127968513151	0.000135146964645247	0.000107670313500063	0
ENSG00000157911	3.68097165872681e-06	5.95508378058494e-06	7.5220337727744e-06	6.64840571231019e-06	4.60728288563342e-06	1.19633681666736e-05	0
ENSG00000149527	7.36194331745362e-07	0	0	0	1.53576096187781e-06	0	0
ENSG00000224387	0	0	0	0	0	0	0
ENSG00000229393	0	0	0	0	0	0	0
ENSG00000157881	6.99384615158094e-06	7.44385472573117e-06	4.62894386016886e-06	2.32694199930857e-05	2.30364144281671e-05	5.98168408333682e-06	0
ENSG00000197921	0	0	0	0	0	0	0
ENSG00000272449	2.76072874404511e-05	1.19101675611699e-05	4.39749666716042e-05	1.99452171369306e-05	2.30364144281671e-05	0	8.65725911176522e-05
ENSG00000157873	0.00010711627526895	0.000113146591831114	0.000119773922381869	0.000122995505677738	0.00011211055021708	7.17802090000419e-05	0.000129858886676478
ENSG00000225931	0	0	0	0	0	0	0
ENSG00000228037	4.04906882459949e-06	2.97754189029247e-06	5.78617982521108e-07	0	0	0	0
ENSG00000157870	7.7300404833263e-06	0	4.62894386016886e-06	3.32420285615509e-06	1.38218486569003e-05	0	0
ENSG00000142606	1.10429149761804e-06	0	5.20756184268997e-06	0	1.53576096187781e-06	0	0
ENSG00000237058	0	0	0	0	0	0	0
ENSG00000215912	1.10429149761804e-06	0	0	3.32420285615509e-06	0	0	0
ENSG00000233234	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0	0
ENSG00000177133	0	0	0	0	0	0	0
ENSG00000142611	0	0	0	3.32420285615509e-06	0	0	0
ENSG00000226286	0	0	0	0	0	0	0
ENSG00000272235	0	0	0	0	0	0	0
ENSG00000130762	0	0	0	0	0	0	0
ENSG00000272088	0	0	0	0	0	0	0
ENSG00000162591	2.94477732698145e-06	0	5.78617982521108e-07	0	1.53576096187781e-06	0	0
ENSG00000238260	0	0	0	0	0	0	0
ENSG00000158109	9.93862347856239e-06	1.48877094514623e-06	8.10065175529551e-06	3.32420285615509e-06	1.38218486569003e-05	1.19633681666736e-05	4.32862955588261e-05
ENSG00000116213	1.21472064737985e-05	2.23315641771935e-05	1.38868315805066e-05	2.99178257053958e-05	2.30364144281671e-05	2.39267363333473e-05	0
ENSG00000078900	0	0	0	0	0	0	0
ENSG00000227589	0	0	5.78617982521108e-07	0	0	0	0
ENSG00000235131	0	0	0	0	0	0	0
ENSG00000227372	6.99384615158094e-06	5.95508378058494e-06	2.89308991260554e-06	0	4.60728288563342e-06	0	0
ENSG00000162592	0	0	0	0	0	0	0
ENSG00000235169	2.20858299523609e-06	0	3.47170789512665e-06	0	1.53576096187781e-06	0	4.32862955588261e-05
ENSG00000130764	1.76686639618887e-05	4.16855864640946e-05	1.73585394756332e-05	4.98630428423264e-05	2.61079363519227e-05	0	0
ENSG00000272153	3.68097165872681e-07	0	0	0	0	0	0
ENSG00000116198	7.7300404833263e-06	1.33989385063161e-05	1.04151236853799e-05	1.66210142807755e-05	1.22860876950224e-05	5.98168408333682e-06	0
ENSG00000169598	3.68097165872681e-06	2.97754189029247e-06	4.62894386016886e-06	0	6.14304384751122e-06	0	0
ENSG00000198912	1.98772469571248e-05	2.23315641771935e-05	2.31447193008443e-05	5.98356514107917e-05	2.30364144281671e-05	1.79450522500105e-05	0
ENSG00000236423	0	0	5.78617982521108e-07	0	0	0	0
ENSG00000233304	0	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0	0
ENSG00000196581	0	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	0	0	0
ENSG00000131697	1.10429149761804e-06	0	4.05032587764776e-06	0	0	5.98168408333682e-06	0
ENSG00000069424	3.53373279237774e-05	3.57305026835096e-05	5.72831802695897e-05	7.31324628354121e-05	4.14655459707008e-05	5.38351567500314e-05	4.32862955588261e-05
ENSG00000268332	0	0	0	0	0	0	0
ENSG00000116254	0	0	0	0	0	0	0
ENSG00000116251	0.00117018089030925	0.000985566365686807	0.000606391645682121	0.000518575645560195	0.000718736130158813	0.000963051137417228	8.65725911176522e-05
ENSG00000226944	3.68097165872681e-07	0	0	0	0	0	0
ENSG00000158286	3.31287449285413e-06	0	1.15723596504222e-06	0	0	0	4.32862955588261e-05
ENSG00000116237	7.7300404833263e-06	8.93262567087741e-06	8.67926973781662e-06	1.99452171369306e-05	2.45721753900449e-05	1.19633681666736e-05	4.32862955588261e-05
ENSG00000225077	3.68097165872681e-07	0	0	0	0	0	0
ENSG00000173673	0	0	0	0	0	0	0
ENSG00000158292	0	0	1.15723596504222e-06	0	4.60728288563342e-06	0	0
ENSG00000097021	1.84048582936341e-06	0	5.78617982521108e-07	1.66210142807755e-05	1.68933705806559e-05	1.79450522500105e-05	0
ENSG00000271746	7.36194331745362e-07	0	0	3.32420285615509e-06	3.07152192375561e-06	0	0
ENSG00000069812	0	0	0	0	0	0	0
ENSG00000187017	1.47238866349072e-06	0	0	0	1.53576096187781e-06	0	0
ENSG00000231868	0	0	0	0	0	0	0
ENSG00000215788	6.6993684188828e-05	1.48877094514623e-06	5.78617982521108e-06	3.98904342738611e-05	4.91443507800898e-05	0	0
ENSG00000171680	2.94477732698145e-06	0	1.15723596504222e-06	0	3.07152192375561e-06	0	0
ENSG00000162408	7.36194331745362e-06	5.95508378058494e-06	5.78617982521108e-06	6.64840571231019e-06	9.21456577126683e-06	5.98168408333682e-06	0
ENSG00000173662	0	0	0	0	0	0	0
ENSG00000204859	9.57052631268971e-06	7.44385472573117e-06	1.21509776329433e-05	1.99452171369306e-05	1.22860876950224e-05	1.79450522500105e-05	0
ENSG00000162413	4.78526315634485e-06	5.95508378058494e-06	7.5220337727744e-06	6.64840571231019e-06	9.21456577126683e-06	5.98168408333682e-06	0
ENSG00000116273	3.68097165872681e-06	1.48877094514623e-06	2.89308991260554e-06	6.64840571231019e-06	1.53576096187781e-06	0	0
ENSG00000041988	1.25153036396712e-05	8.93262567087741e-06	8.67926973781662e-06	3.6566231417706e-05	2.15006534662893e-05	1.19633681666736e-05	0
ENSG00000007923	5.52145748809022e-06	2.97754189029247e-06	8.10065175529551e-06	6.64840571231019e-06	1.53576096187781e-05	0	0
ENSG00000228750	3.68097165872681e-07	0	0	0	0	0	0
ENSG00000237436	0	0	1.15723596504222e-06	3.32420285615509e-06	0	0	0
ENSG00000171735	3.97544939142496e-05	4.4663128354387e-05	4.2817730706562e-05	3.6566231417706e-05	4.14655459707008e-05	4.78534726666946e-05	0.000303004068911783
ENSG00000237365	0	0	0	0	0	0	0
ENSG00000237728	0	0	0	0	0	0	0
ENSG00000225126	0	0	0	0	0	0	0
ENSG00000270171	0	0	0	0	0	0	0
ENSG00000270035	0	0	0	0	0	0	0
ENSG00000269978	0	0	0	0	0	0	0
ENSG00000049245	2.06134412888701e-05	1.78652513417548e-05	6.30693600948008e-05	3.6566231417706e-05	1.84291315425337e-05	5.38351567500314e-05	0
ENSG00000049246	4.78526315634485e-06	2.97754189029247e-06	2.31447193008443e-06	6.64840571231019e-06	7.67880480938903e-06	0	0
ENSG00000236266	0	1.48877094514623e-06	0	0	0	0	0
ENSG00000049247	1.47238866349072e-06	1.48877094514623e-06	0	3.32420285615509e-06	7.67880480938903e-06	5.98168408333682e-06	0
